"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"UGT2B11 ",84.0051402639179,8.42132924986058,1.61318501628688,5.22031209367677,1.78621860348818e-07,1.02463453158094e-05,8.42132924986058
"RAB17-DT ",53.6968694727331,-6.16451415299051,1.18225425602978,-5.2142033928404,1.84608827194735e-07,1.05196467125636e-05,6.16451415299051
"LOC124904924 ",139.681197673382,-8.15019058104641,1.56647368573061,-5.20289019553184,1.96212812923874e-07,1.11073233473913e-05,8.15019058104641
"PNPLA1 ",133.578727494219,5.33978650707576,1.02967158878097,5.18591225130095,2.1496001095302e-07,1.19330542854533e-05,5.33978650707576
"MDGA2 ",68.2148364104581,-9.52268999810756,1.83777425097175,-5.18164295373727,2.19939927065485e-07,1.21702450317361e-05,9.52268999810756
"COL6A3 ",2120.98929155252,-6.81484501423566,1.31994346848495,-5.16298248898329,2.43045884292791e-07,1.30705519462333e-05,6.81484501423566
"LINC01694 ",391.073119545187,-4.62772548771557,0.896533256014288,-5.16180014145713,2.44586343478925e-07,1.3071696847605e-05,4.62772548771557
"TENT5A ",1060.21401209129,4.17354639320916,0.808976100503315,5.15904782676835,2.48208906201449e-07,1.32242324050178e-05,4.17354639320916
"CCDC8 ",69.2663164103385,-8.10293015724459,1.57346489391954,-5.14973685689294,2.6085217060666e-07,1.3791105612302e-05,8.10293015724459
"LOC124907724 ",217.448176605289,-5.95900744535776,1.15721264467987,-5.14944895629468,2.61252857784324e-07,1.3791105612302e-05,5.95900744535776
"LOC107987020 ",74.4315801234079,4.51157651094613,0.876243702492755,5.14876911310348,2.62201393972248e-07,1.37988495072429e-05,4.51157651094613
"FRAS1 ",71.600022114693,-8.1509721804314,1.60054416138128,-5.09262560640442,3.53138608370632e-07,1.80867925936018e-05,8.1509721804314
"LOC124900868 ",43.8258562782152,5.44902160190027,1.07395173089418,5.07380494406704,3.89938773514131e-07,1.98120750197353e-05,5.44902160190027
"LOC780529 ",36.6865688635244,-8.6273486916371,1.7003806067939,-5.07377504610813,3.90000077015708e-07,1.98120750197353e-05,8.6273486916371
"CLEC5A ",745.31976301017,5.26429280446797,1.03763206523419,5.07337136240081,3.9082871097481e-07,1.98120750197353e-05,5.26429280446797
"MYO3A ",178.969199008815,-24.2749091281281,4.78504426187459,-5.07307932792624,3.91429223470858e-07,1.98120750197353e-05,24.2749091281281
"ZNF667-AS1 ",59.0675418766245,-4.99644335610899,0.985676910854207,-5.06904777933672,3.99810864551776e-07,2.01769653022625e-05,4.99644335610899
"LOC124901653 ",46.4632590803478,-6.51228928415094,1.28517844334652,-5.06722573652368,4.03655488586604e-07,2.03114248628271e-05,6.51228928415094
"CLEC20A ",110.839891917804,-8.78618948381562,1.7347433760396,-5.06483529793,4.08753595809748e-07,2.05079901757725e-05,8.78618948381562
"LOC101927745 ",666.166264543141,-5.18443184320952,1.02665484081696,-5.04982944324697,4.42204702184641e-07,2.18048731229097e-05,5.18443184320952
"CALN1 ",278.963527002839,-6.04602925495939,1.1979693330578,-5.04689818689011,4.49040481546123e-07,2.20786789912207e-05,6.04602925495939
"BRD2 ",36.9731162830494,8.6802516464678,1.72390196671031,5.03523507373923,4.7726277799087e-07,2.32668984318552e-05,8.6802516464678
"MS4A4E ",449.655394561948,4.22664194782363,0.848723441838591,4.97999906620635,6.3584580035783e-07,3.01439955326664e-05,4.22664194782363
